depth (mm),Si,K,Ca,Ti,Fe,Co,Ni,Sr,P
274.5,402,4293,151139,3040,23318,289,341,498,10
275,426,4167,160470,3217,24174,348,318,355,98
275.5,384,4544,163536,3510,21444,278,325,551,47
276,436,4605,168623,3531,21997,308,306,536,76
276.5,370,4242,171312,3934,23026,357,412,278,25
277,433,4416,180222,3621,24077,306,303,379,0
277.5,484,4573,190895,3967,26118,324,343,437,43
278,365,4715,186519,3650,26984,276,344,390,24
278.5,463,4665,179916,3505,26697,316,365,488,0
279,467,4646,184626,3409,25017,222,318,355,48
279.5,400,4370,182153,3544,23783,398,364,309,13
280,375,4049,182190,3359,23217,343,460,429,25
280.5,494,4803,187557,3961,22876,302,245,450,0
281,459,5160,192921,3873,24304,273,392,380,38
281.5,413,4598,179986,3239,24516,408,272,476,22
282,428,4545,182126,3480,23009,307,359,452,5
282.5,449,4592,184957,3384,23458,275,284,359,57
283,420,4295,171696,3327,23880,373,361,423,87
283.5,379,4187,159690,3718,23568,239,446,396,7
284,460,4604,180504,3533,24446,361,313,422,54
284.5,410,4506,183030,4222,24142,375,360,532,69
285,371,4736,182844,3666,26132,299,406,521,0
285.5,484,4898,197093,4098,23199,327,321,275,42
286,471,5158,200331,3966,23579,345,336,686,0
286.5,440,5243,202082,3753,22419,234,298,494,18
287,381,4829,180590,3755,21427,304,334,409,0
287.5,448,4825,182532,3891,20514,263,343,605,0
288,446,4756,187731,4087,20974,349,407,322,14
288.5,455,4821,179069,4480,21982,275,400,466,30
289,412,4889,181222,3686,21027,258,361,399,0
289.5,438,5351,179316,3753,20757,242,354,446,0
290,485,5261,183097,4235,20049,285,326,555,13
290.5,447,5183,184887,4329,20459,203,391,537,74
291,414,4806,176429,3782,22473,283,436,478,35
291.5,404,4378,176139,3588,19956,339,364,390,0
292,420,4242,168543,3137,19446,254,407,579,67
292.5,422,4490,180457,3571,20253,333,345,525,0
293,478,4634,186117,3539,20001,229,320,451,0
293.5,504,4918,189558,3620,19357,213,323,406,65
294,495,4649,187801,3777,19259,281,375,370,29
294.5,479,4291,175200,3721,17874,315,333,274,14
295,432,4091,161332,3435,16442,149,357,484,0
295.5,373,3911,159427,3173,17784,265,417,229,43
296,384,4240,171218,3640,18661,267,422,440,0
296.5,405,4340,171602,3414,19078,243,310,421,0
297,427,4165,165944,3351,19019,253,295,428,0
297.5,419,4639,176040,3179,18490,322,360,487,0
298,395,4869,180358,3379,19248,189,318,361,56
298.5,370,4802,180584,3564,18789,184,337,444,0
299,420,5046,186610,3569,18944,177,271,430,0
299.5,464,4754,187287,3448,20324,287,297,286,0
300,485,4554,177545,3779,18850,314,359,463,11
300.5,413,4758,177174,5043,19079,270,379,492,0
301,440,5075,185886,6136,20312,290,282,411,0
301.5,428,5361,197338,4044,19912,236,313,482,22
302,549,5044,189904,4190,20169,280,284,310,6
302.5,510,5300,194892,3886,19700,322,274,392,41
303,503,4966,186942,4019,20007,275,387,254,0
303.5,500,4926,185291,3754,20203,333,321,637,0
304,505,4938,193753,3741,20619,278,376,558,0
304.5,540,5118,189716,4066,20071,323,350,266,0
305,503,5125,181904,3649,20623,334,377,445,0
305.5,432,4778,191235,3667,19415,230,342,376,39
306,429,4755,179337,3538,19439,260,385,591,39
306.5,456,4465,171160,3442,20665,335,324,255,0
307,523,4466,174583,3543,19349,364,357,449,0
307.5,396,4507,168796,3461,18161,244,358,383,0
308,425,4293,179122,3644,18641,398,328,469,0
308.5,438,4200,174857,3511,17918,325,324,415,0
309,494,4284,175063,3273,18732,343,321,466,0
309.5,513,4756,195161,3353,20657,374,315,394,19
310,515,5013,195645,3618,19748,227,364,502,31
310.5,532,4895,187842,3692,18708,241,369,550,0
311,426,4555,177599,3757,19804,315,277,412,0
311.5,527,4736,177182,3385,19331,286,410,486,9
312,530,4747,188625,3977,19257,315,347,573,0
312.5,550,4911,191811,3610,18580,293,306,445,0
313,453,4561,187813,3429,18983,321,374,381,53
313.5,463,5015,187680,3540,20685,364,206,542,0
314,562,4987,185417,3470,20547,313,314,647,0
314.5,504,5007,180771,3310,19055,238,398,469,0
315,376,4125,159823,3390,18228,290,283,436,0
315.5,394,4771,173241,3528,19123,306,379,475,0
316,416,4732,178553,3710,19143,263,348,438,0
316.5,358,4125,172991,2954,18052,361,203,538,6
317,384,4647,186197,3310,19175,275,366,425,25
317.5,486,4789,186152,3664,19141,303,342,501,0
318,453,4488,173795,3525,18752,282,387,406,0
318.5,531,4827,186808,3358,18887,387,414,408,0
319,560,4855,189042,3675,19530,334,277,467,0
319.5,623,4675,182052,3897,19340,315,245,514,0
320,569,5064,186972,4282,19914,389,365,492,0
320.5,614,5282,193911,3821,19026,242,426,515,0
321,544,4905,183732,3944,18936,224,346,327,0
321.5,491,4588,172971,3549,19030,243,378,411,0
322,417,3914,162044,3302,17902,314,389,594,0
322.5,491,4113,164234,3395,20691,333,354,449,0
323,537,4660,181630,4740,20387,308,355,425,0
323.5,490,4586,184429,3919,19004,252,316,480,0
324,385,4673,174115,3779,18723,377,256,599,0
324.5,451,4539,168330,3679,19804,355,354,385,14
325,472,4455,164369,3464,19500,376,326,428,0
325.5,440,4695,165629,3363,19111,325,300,345,0
326,546,4851,178475,3220,18994,253,335,569,0
326.5,401,4393,168158,3109,19185,171,422,306,5
327,454,4536,165096,3422,19430,310,276,490,50
327.5,461,4652,171262,4158,20169,314,304,490,0
328,401,4422,172060,3399,20534,334,264,384,0
328.5,486,5047,182179,3809,20177,350,326,616,0
329,479,4859,172042,3776,18585,173,350,290,0
329.5,434,4428,158781,3267,18648,291,344,420,0
330,427,4314,167182,3424,19068,302,325,366,40
330.5,403,4156,159417,3409,18811,292,435,289,0
331,424,4497,158294,3318,18416,294,351,506,0
331.5,395,4280,156974,3890,18414,203,379,398,31
332,458,4268,153045,3354,18018,334,350,321,77
332.5,419,3935,152747,3596,18748,323,349,444,0
333,584,4938,181224,3521,20559,313,297,376,0
333.5,621,5677,194180,3549,20876,256,346,399,0
334,702,5334,183886,3534,22209,137,309,627,71
334.5,527,4576,174830,3162,20699,328,355,399,129
335,490,4463,167810,3580,21731,328,354,553,110
335.5,545,4966,185852,3810,21204,350,335,494,0
336,608,4824,174552,3847,19884,342,363,239,20
336.5,510,4941,176918,3829,20905,389,333,511,5
337,571,4532,168094,3648,20304,271,327,526,64
337.5,527,5179,173344,3902,20665,517,277,457,4
338,550,4634,162607,3882,18122,245,332,515,50
338.5,452,3992,157322,3257,16625,285,355,392,32
339,482,4518,160369,3420,17478,254,340,431,0
339.5,485,4763,159421,3462,18759,265,346,327,36
340,531,5630,161605,3847,20334,358,331,396,0
340.5,539,5271,163903,3876,20096,287,346,179,15
341,524,5391,149832,4094,20577,237,376,398,0
341.5,500,5315,153857,3968,19772,381,271,416,21
342,558,5610,165651,4170,21982,350,279,363,0
342.5,594,5984,176236,4393,22838,341,291,469,7
343,589,5830,161817,4581,21988,407,338,253,28
343.5,538,5855,157697,4726,22984,242,353,397,38
344,526,5683,156265,4629,22902,302,399,372,0
344.5,477,5680,161638,4198,21796,275,358,350,0
345,554,6523,178743,4770,22305,314,359,593,0
345.5,630,6525,186533,4924,21803,231,333,370,0
346,594,6569,176057,4940,22608,385,373,770,6
346.5,495,5458,151401,3897,22069,403,337,645,51
347,583,6010,167348,4222,20999,310,370,493,14
347.5,675,6413,180618,4738,21648,359,296,380,25
348,574,6876,179969,4523,22580,377,285,624,29
348.5,518,6026,168453,4763,22507,291,365,502,57
349,571,5855,163871,4088,22094,384,313,478,52
349.5,586,5932,169162,4374,21207,398,299,446,37
350,651,6282,173802,4320,21262,307,299,487,17
350.5,596,5856,155478,4246,20691,222,322,524,0
351,534,6455,171099,4986,22360,349,346,400,0
351.5,644,6734,173838,4695,22651,370,329,451,27
352,609,5862,159196,4362,21552,327,309,506,33
352.5,536,6157,164870,4512,21963,288,332,533,0
353,622,6099,166568,4350,22206,337,328,571,64
353.5,555,6059,155195,4519,22233,463,343,542,31
354,578,6240,162395,4835,24300,322,298,554,0
354.5,576,6379,169298,4830,22420,350,351,293,0
355,588,6677,175297,5058,23519,260,240,685,0
355.5,597,6800,169025,5021,23246,311,384,497,9
356,599,6648,163218,4909,22928,328,339,347,0
356.5,689,7386,183857,5023,23215,406,278,545,0
357,621,6990,171031,4864,21940,317,334,350,64
357.5,582,6122,167212,4530,21342,303,360,529,39
358,658,6612,177948,4517,22244,519,284,347,0
358.5,690,7002,189714,5046,24383,385,329,374,10
359,721,7431,195016,5295,25250,376,348,351,34
359.5,622,6546,171298,4582,23616,336,349,408,0
360,557,6375,169274,5079,23386,398,280,451,14
360.5,590,6478,166299,4717,22931,450,299,460,17
361,565,5874,161639,4812,22203,425,335,447,0
361.5,582,6481,176147,4639,24524,405,309,538,0
362,681,6567,187268,4773,23031,358,310,489,48
362.5,622,6469,178840,4407,23146,308,277,315,0
363,680,6996,198856,5030,23659,382,395,414,34
363.5,649,7103,204586,4896,22365,329,288,555,9
364,665,7911,209561,5586,23903,382,272,600,0
364.5,790,7827,222149,5521,24581,335,304,630,40
365,782,8375,231096,5717,23704,387,248,567,19
365.5,934,8277,224453,6192,23226,340,378,672,67
366,877,8907,233210,5741,23245,374,291,480,50
366.5,912,8441,233600,5663,23898,472,382,404,41
367,759,7881,218197,5634,23785,320,271,601,0
367.5,777,8038,209290,5367,23334,308,270,514,0
368,824,8193,221573,5681,23092,415,243,490,0
368.5,814,8137,201264,5423,23223,372,266,437,18
369,711,8629,219651,5574,24590,301,317,551,33
369.5,832,8727,230084,5693,24744,329,284,547,0
370,777,8301,230391,5487,24915,452,245,498,0
370.5,763,8108,226526,6713,24214,325,230,208,0
371,712,8007,213651,5388,23387,347,323,619,0
371.5,720,7873,218104,5089,22721,391,273,633,0
372,821,8062,224183,5291,23592,322,321,556,0
372.5,729,7854,213223,5334,23596,373,357,589,0
373,782,8101,222740,5395,23952,336,202,435,35
373.5,853,8220,217450,5755,23315,289,333,570,0
374,748,8163,203918,5359,23172,235,389,715,6
374.5,768,7933,210770,5190,22743,254,326,368,11
375,773,7447,214178,5697,22881,355,246,538,10
375.5,758,7956,225665,5445,23584,327,320,544,15
376,754,8301,228972,5517,23331,230,292,513,0
376.5,730,7633,218347,5991,22442,354,286,529,0
377,780,7761,226729,5081,21775,358,222,589,0
377.5,839,7744,225787,5107,22058,229,301,379,40
378,932,8430,236964,5834,22166,264,277,476,28
378.5,1001,8951,263470,6161,24092,214,334,544,30
379,943,8790,263371,5920,24304,302,323,498,0
379.5,868,8103,254661,5780,23627,263,346,501,0
380,834,7921,249018,5116,22963,232,299,557,15
380.5,905,8382,272955,5536,23875,241,326,316,0
381,883,8926,280230,5636,23733,268,277,563,31
381.5,910,8689,264343,5491,23020,314,324,615,0
382,897,8455,258894,5900,23098,288,307,609,0
382.5,930,8485,251444,5994,24540,298,307,399,0
383,970,8013,255836,5460,23892,306,417,576,0
383.5,878,7724,252747,5077,22709,260,262,547,10
384,724,7223,247222,4867,21189,387,348,321,34
384.5,761,7377,275984,4940,21764,291,342,639,0
385,828,7063,296285,4617,20735,266,274,729,0
385.5,888,6731,271945,4580,22715,184,304,561,0
386,831,6241,245531,4099,19626,250,381,430,29
386.5,755,6034,232189,4109,18585,288,340,618,0
387,729,5835,229670,4662,19400,275,295,440,27
387.5,718,5676,241663,4112,19305,295,320,569,0
388,775,5623,251379,4327,19139,237,244,392,0
388.5,810,5505,234265,4106,18817,351,262,458,0
389,722,5484,230560,4552,18082,279,310,481,0
389.5,628,5307,234513,3894,17870,266,280,378,0
390,770,5438,241807,3861,19801,325,306,448,0
390.5,805,5428,221934,3713,21890,331,274,411,8
391,687,5085,222877,3757,18669,323,289,299,0
391.5,703,4978,240207,3791,18062,297,308,497,6
392,653,4866,242541,4021,19048,322,322,443,56
392.5,664,5339,244809,3662,17128,273,311,310,0
393,741,5693,264107,3975,17748,131,265,421,12
393.5,689,6431,277387,4358,17946,179,318,510,0
394,712,5924,272519,4186,17203,228,344,379,0
394.5,716,5751,232737,4260,18891,310,326,263,0
395,735,5636,218778,4144,19864,424,274,317,35
395.5,694,5472,215552,4023,18990,326,292,233,0
396,698,5159,204709,3875,20232,318,285,406,0
396.5,652,4799,180533,3692,20916,314,387,383,54
397,567,4628,186178,3720,19954,276,241,435,0
397.5,540,4482,178002,3536,20801,310,362,554,0
398,591,4605,181621,3452,20228,367,315,249,21
398.5,646,4445,187285,3537,20723,305,336,546,20
399,675,5045,196969,3602,21356,330,343,633,48
399.5,622,5069,191379,3743,22291,234,264,338,0
400,503,4316,178133,3373,21581,325,372,452,26
400.5,613,4953,185430,3514,21152,280,367,558,0
401,591,4734,194910,3574,21835,387,339,545,0
401.5,567,4748,208907,3447,22251,333,266,375,0
402,603,4572,191438,3289,19914,304,359,535,12
402.5,582,4717,171593,3336,20398,313,318,491,41
403,645,5081,183133,3896,22382,371,406,362,5
403.5,624,4736,176212,3618,22070,320,280,404,0
404,595,4912,172256,3316,21287,278,306,481,0
404.5,516,4564,166550,3087,22039,354,286,420,55
405,577,4619,162831,3408,23117,330,309,498,166
405.5,637,5057,169839,3589,22342,294,354,457,26
406,585,4971,175296,3715,24363,391,295,527,0
406.5,630,4865,171804,3471,22718,236,335,257,8
407,571,4637,183396,3313,22524,373,405,564,0
407.5,578,4591,170126,3410,21532,350,333,417,36
408,533,4330,174667,3181,22880,371,333,628,0
408.5,527,4208,168588,3136,20246,248,379,624,22
409,597,5260,202705,3607,22135,353,283,525,0
409.5,688,5133,214582,3469,22173,280,363,511,0
410,615,4747,190724,3458,21665,220,280,592,0
410.5,546,4548,163313,4028,21363,271,333,475,0
411,672,4828,170587,3408,22904,291,351,423,0
411.5,664,5238,179438,5522,22677,357,271,475,0
412,685,5628,195291,4322,22972,298,361,535,0
412.5,691,5336,191261,3871,22630,185,288,417,0
413,612,4551,179931,3276,20393,258,351,596,0
413.5,560,4619,174627,3375,20327,236,298,301,0
414,627,5378,192889,3474,20987,286,371,376,0
414.5,635,5071,181870,3728,19720,295,308,642,27
415,650,5307,183228,3960,21753,213,341,505,16
415.5,793,5907,185887,4111,23701,230,354,355,45
416,701,5340,166004,4081,24183,487,297,337,34
416.5,609,4884,154810,3485,20807,365,259,354,57
417,667,4724,165627,3304,19912,271,349,286,26
417.5,584,4364,146838,3283,19537,289,325,401,53
418,662,5144,171820,3347,20872,401,302,342,0
418.5,721,5254,176887,3698,22832,364,334,553,51
419,717,5135,170381,3935,23432,365,231,485,19
419.5,783,5669,178136,4120,21733,332,297,493,0
420,668,4997,169327,3819,21387,356,306,463,43
420.5,703,5146,171448,3836,22004,326,340,562,0
421,750,5442,178183,4034,22978,329,267,337,19
421.5,722,5729,173695,4111,22689,382,338,636,0
422,835,7144,173810,4573,26684,381,263,563,53
422.5,726,6917,207828,4929,26428,285,317,610,36
423,869,7290,203062,4990,27655,374,364,307,0
423.5,905,7713,205514,5307,30648,414,327,458,106
424,788,7159,197215,5406,35028,438,306,511,57
424.5,778,6732,197988,5372,34798,441,305,364,130
425,669,6710,211043,5214,40520,470,286,348,128
425.5,778,6973,223394,4793,37560,452,332,486,132
426,669,6233,225292,4380,41487,416,332,596,117
426.5,718,7104,258785,4658,35379,400,338,616,43
427,850,7647,264460,4883,32006,375,300,492,72
427.5,815,7599,244952,4646,33032,476,205,520,0
428,708,7115,242449,5151,29293,314,306,512,69
428.5,640,6589,258603,4790,31705,395,252,606,39
429,608,5910,224177,4684,29953,494,341,321,0
429.5,610,5681,229778,4105,27898,304,266,462,85
430,656,6011,237920,4336,26784,370,310,456,0
430.5,582,5089,255553,3893,24780,358,275,420,11
431,525,5251,241601,4093,25967,319,239,517,70
431.5,586,5557,208100,4998,30649,363,301,337,37
432,680,6011,218249,4436,31603,374,318,247,59
432.5,669,5654,223764,4037,28155,366,303,489,0
433,621,5112,200592,4137,27121,409,287,463,57
433.5,525,4920,174208,3999,24918,417,277,435,0
434,518,4831,197266,3586,26595,269,370,413,36
434.5,486,4421,226771,3218,25814,309,350,490,80
435,516,4728,229367,3603,27547,363,310,482,0
435.5,523,4154,239988,3228,26403,367,318,625,0
436,543,4352,236477,3081,25183,239,319,496,26
436.5,529,5138,225378,3733,27386,375,293,540,0
437,650,5355,215517,4093,31141,421,285,321,33
437.5,617,5001,206113,3841,35158,450,332,289,108
438,488,4824,201170,3825,30097,310,381,440,0
438.5,570,5932,193884,4017,28027,381,272,426,96
439,548,5451,196841,4106,26850,375,273,387,50
439.5,512,5060,182369,3921,29363,288,327,544,30
440,654,5295,169726,4047,31287,441,272,295,38
440.5,496,4781,145892,4938,30404,410,328,321,51
441,559,5122,158943,4418,32893,364,312,536,91
441.5,546,5291,152254,4495,30462,352,323,337,94
442,599,5320,142719,4553,31276,346,329,349,63
442.5,468,5154,129095,4229,30799,510,337,215,30
443,437,4735,138375,3824,25425,320,390,566,82
443.5,470,5111,164868,3655,22771,320,351,481,115
444,541,4694,184026,3474,21257,332,352,373,0
444.5,476,4418,186682,3433,23463,330,352,486,32
445,565,5118,180315,3466,28146,416,255,426,38
445.5,499,4581,177703,3482,29405,358,338,338,90
446,487,4342,174348,3174,29294,386,318,425,39
446.5,482,4498,179395,3248,33996,399,321,341,6
447,462,4443,187152,3240,29499,458,298,407,134
447.5,412,3876,167240,3241,26447,311,371,310,31
448,519,4387,167264,3416,27157,352,379,429,19
448.5,459,4419,166775,3535,28134,343,323,196,56
449,496,4443,171817,3656,27910,315,354,474,4
449.5,424,4230,158601,3538,27290,340,416,427,132
450,427,3971,160119,3373,28700,432,336,548,84
450.5,459,3996,158195,3294,32463,402,360,452,159
451,492,4505,161179,3257,37509,556,339,571,120
451.5,499,4361,157490,3250,31589,417,261,314,150
452,480,4703,147997,3475,30111,376,344,275,90
452.5,408,4197,140384,3137,29129,401,298,443,102
453,423,4260,149192,3664,31096,435,306,165,80
453.5,422,4396,154310,3240,29959,326,294,390,118
454,371,3655,140588,2900,26345,415,316,385,76
454.5,373,3942,146346,3187,28500,466,313,389,60
455,418,3940,150766,3315,30782,501,256,380,76
455.5,433,4262,141208,3268,32459,439,369,299,123
456,455,4318,140957,3325,27144,387,299,368,11
456.5,403,4102,160107,3077,31288,463,340,625,67
457,469,3914,168337,3195,25065,390,331,501,99
457.5,455,4151,170047,3204,34182,393,408,444,35
458,426,4224,161464,3152,29213,266,285,321,31
458.5,381,3728,172507,3167,29707,350,385,331,54
459,317,4255,157556,3248,29811,299,311,272,48
459.5,356,4437,182850,3331,29725,268,406,315,13
460,412,4668,260349,3437,34954,290,379,394,71
460.5,372,4308,295592,2982,42520,343,350,285,51
461,472,5035,254094,3787,27755,342,239,470,34
461.5,509,5488,191484,3980,31803,461,331,459,0
462,490,5290,169383,4404,32359,390,305,373,0
462.5,501,5946,142929,4637,29191,315,335,323,115
463,495,5785,138409,4312,43995,486,388,497,96
463.5,536,5903,155167,4740,36042,362,315,552,34
464,596,5657,166732,4167,27945,418,372,371,85
464.5,458,4653,156139,3440,21290,291,317,369,95
465,532,6120,201569,4023,23947,318,415,423,0
465.5,612,6281,191400,4110,24006,284,308,284,26
466,506,5345,200128,3659,17266,285,341,260,0
466.5,456,4957,258285,2983,18377,205,321,481,34
467,466,5307,264111,3649,30869,343,398,329,41
467.5,578,5680,233813,3483,34642,352,320,282,103
468,477,5241,155322,3680,39803,454,338,361,190
468.5,639,7097,140732,4821,36773,358,338,438,161
469,727,8166,117138,5867,41923,572,247,287,104
469.5,589,7251,105311,5142,39548,466,384,440,181
470,568,5975,101777,4515,57792,682,218,430,206
470.5,544,5896,96325,5063,53810,609,339,350,160
471,571,5498,107790,4672,33440,384,348,179,73
471.5,680,5654,122342,4104,32153,473,264,202,75
472,546,5598,135185,5196,31083,435,255,207,103
472.5,515,5859,160135,4885,30945,299,297,454,103
473,632,6206,160172,4530,40318,506,307,163,38
473.5,585,5678,157517,4518,54772,584,294,495,179
474,483,5086,173288,3912,47072,473,388,401,160
474.5,499,5543,241268,4161,28221,216,299,467,42
475,607,6662,237283,4679,31291,362,314,405,45
475.5,553,6298,183887,5008,52300,482,299,654,253
476,403,4879,133826,3942,74121,750,289,377,224
476.5,425,5470,143704,4041,58934,544,404,288,124
477,545,5060,146607,4267,58852,594,428,264,235
477.5,459,5242,145713,3979,60837,501,317,316,216
478,590,6050,147510,4668,58850,581,364,435,226
478.5,493,5358,123692,4111,58924,635,385,437,201
479,447,4976,96070,3738,47648,529,305,264,144
479.5,564,5344,105068,3800,41997,462,376,393,204
480,492,4955,93167,3714,38838,545,381,243,150
480.5,355,4238,97844,3238,41710,475,322,467,133
481,416,4824,97956,3781,48633,551,358,323,204
481.5,508,5944,89058,4265,37126,378,235,190,163
482,507,5422,77729,4186,33447,516,357,434,134
482.5,477,5370,75421,4780,32932,477,292,335,127
483,543,4861,70760,4227,30573,499,295,164,127
483.5,557,5504,85532,4749,35415,537,314,390,26
484,552,5960,114036,4838,33381,576,258,326,100
484.5,585,6110,130826,4904,34353,379,298,514,129
485,683,6296,182535,4569,40878,460,321,205,158
485.5,452,6163,166459,4358,43865,366,356,362,145
486,722,8582,166265,6260,56703,615,311,476,217
486.5,723,8849,130193,6698,71984,687,373,415,300
487,753,9583,95190,6666,76821,766,353,341,319
487.5,840,10457,100793,7411,67483,724,315,404,326
488,780,10685,91334,7403,56074,599,362,392,213
488.5,949,12032,78265,8872,56141,663,362,485,377
489,1060,12365,78897,9078,47647,569,313,446,247
489.5,1012,11854,95157,8266,41020,616,357,408,217
490,947,9776,124172,6924,36861,384,345,616,106
490.5,900,9057,178894,5892,42602,421,309,405,88
491,895,9236,154843,6904,58775,562,346,465,232
491.5,813,9917,142229,7169,62287,520,331,258,316
492,707,8022,152129,6390,65548,683,329,386,280
492.5,883,9265,169177,5900,64730,619,376,402,158
493,770,8914,169236,6018,62489,579,244,499,234
493.5,627,8513,153711,5723,69507,738,332,405,252
494,741,8133,149422,5733,74633,645,304,352,287
494.5,666,8007,138904,5849,69777,603,345,377,260
495,697,8135,157976,5262,62761,651,389,315,286
495.5,596,6485,165829,4621,58371,835,302,299,226
496,455,5027,153006,3883,55737,590,337,395,176
496.5,408,4759,149358,3239,49632,509,365,421,206
497,338,4090,166229,3510,45085,487,313,340,178
497.5,342,3906,151525,3334,44631,542,248,198,134
498,386,3959,145342,3459,45887,562,340,258,144
498.5,347,4193,152375,3553,45359,523,263,260,127
499,363,3807,138957,3151,43535,446,309,212,119
499.5,340,3745,135080,3262,50643,585,315,324,197
500,339,4158,130665,4418,45953,495,343,245,197
500.5,346,4636,118658,4043,46046,551,373,431,144
501,373,4180,121091,3222,46600,535,345,251,83
501.5,308,3335,113638,3082,39475,487,316,298,81
502,292,3535,115882,3207,35608,407,312,223,128
502.5,334,3930,139548,3362,35471,445,390,368,125
503,423,3657,133706,3225,42048,541,287,85,173
503.5,383,4219,140982,3147,43966,568,334,170,191
504,397,3809,144924,3236,33735,491,335,428,157
504.5,317,3620,138603,3362,37943,403,398,208,73
505,350,3851,130409,3383,36375,388,353,225,42
505.5,333,4137,134516,3668,39418,454,269,225,140
506,407,4623,144946,3616,42612,562,296,289,182
506.5,432,4327,141409,3777,42869,446,388,346,148
507,402,4470,135888,3477,40235,438,375,312,197
507.5,447,4403,132131,3388,39345,365,379,326,135
508,452,4720,115391,3751,47068,472,372,216,145
508.5,388,4353,115186,3646,37024,442,445,337,150
509,382,4339,114374,3497,34784,364,391,246,76
509.5,410,4254,105670,3707,37750,440,345,324,108
510,457,4217,109039,3500,42729,417,381,317,142
510.5,431,4350,109213,3538,37140,430,357,376,163
511,345,3486,93742,2942,31699,474,291,354,121
511.5,271,2962,92836,2590,35624,456,390,270,110
512,279,3077,103661,2735,38772,496,389,91,171
512.5,296,2752,103162,2556,36526,505,446,235,142
513,350,2581,94738,2560,34968,437,317,189,108
513.5,258,2709,91282,2817,32342,419,406,313,90
514,341,2976,100627,2558,34479,360,374,256,128
514.5,330,2964,91990,2841,33843,459,346,28,95
515,290,3151,87786,2687,34739,495,414,135,191
515.5,249,2607,78392,2141,35456,410,377,147,200
516,266,2414,76636,2047,35322,386,359,290,105
516.5,238,2009,68469,2155,35520,402,425,266,150
517,309,2122,73427,2302,37511,469,343,463,199
517.5,264,2373,71944,2300,39399,458,309,126,157
518,211,2208,66894,2257,39023,475,345,411,217
518.5,191,2122,65178,2176,37165,401,362,125,153
519,299,2263,67624,2223,36580,492,372,201,227
519.5,291,2570,71599,2163,35107,416,336,64,124
520,273,2273,62239,2106,36620,400,436,142,94
520.5,242,2026,55265,1977,37638,407,415,88,153
521,209,1793,56767,3272,37350,418,384,460,135
521.5,236,1968,61509,3449,39045,482,350,156,121
522,241,1685,58106,1996,39738,480,292,199,194
522.5,265,1945,60920,2055,43101,486,356,172,184
523,217,1996,59828,1964,45917,505,410,290,173
523.5,202,1870,58411,1793,38040,492,394,341,173
524,191,1860,61976,1836,35889,450,461,234,142
524.5,216,2074,72395,2051,38023,486,336,149,142
525,233,1901,71723,1815,40824,483,306,223,154
525.5,262,2417,67460,2223,42068,469,352,353,183
526,241,2378,72967,2233,41455,481,417,225,186
526.5,256,1957,63595,2111,39550,386,396,67,206
527,191,1644,54888,1821,37606,402,419,47,154
527.5,194,1859,55491,2022,41874,564,453,199,211
528,261,2289,61573,1932,43063,470,387,30,158
528.5,227,1977,53914,1822,44180,489,403,117,142
529,210,1879,51329,2039,42044,482,350,62,177
529.5,233,2068,52223,2201,42702,484,383,269,236
530,182,2190,50010,2016,45936,508,391,127,197
530.5,207,1704,43599,1969,37340,377,302,156,219
531,191,1681,43467,1900,34934,404,377,146,165
531.5,217,3014,43026,2161,34856,374,345,119,145
532,206,2032,45234,2050,36214,407,448,165,187
532.5,262,2170,42096,2220,38469,493,321,101,217
533,202,2035,41739,2082,41240,519,395,167,197
533.5,185,1834,41313,1920,37298,532,347,0,174
534,245,2165,45055,2445,38205,420,341,246,195
534.5,199,1852,43762,2092,35018,432,398,371,253
535,161,1598,37539,1715,38588,499,311,94,154
535.5,209,1684,43310,1948,38687,476,320,109,98
536,196,2062,44457,2194,37610,554,415,310,162
536.5,235,2392,46825,2272,42330,396,384,356,230
537,189,1924,41949,1860,39483,371,395,275,169
537.5,157,1698,36312,1916,38725,456,367,211,170
538,218,1968,41663,2411,37319,444,346,179,190
538.5,201,2244,38011,2300,39866,421,436,0,116
539,214,2112,36978,2476,39815,478,488,120,181
539.5,212,1849,33966,2054,45766,488,431,162,185
540,163,1698,32366,2307,43020,444,392,231,131
540.5,157,1724,33479,2438,45150,591,399,222,238
541,198,2088,36226,2208,39361,414,405,235,191
541.5,209,1982,49271,2244,34941,437,412,298,181
542,266,1886,36603,2053,38291,517,436,148,192
542.5,192,1828,30616,1810,43385,478,371,295,179
543,209,1729,37707,1946,43046,546,342,210,197
543.5,221,2129,35659,2196,43323,486,372,200,223
544,178,1992,31735,2154,39674,433,433,97,205
544.5,142,2114,28085,1959,37631,476,416,0,149
545,206,2231,31562,2012,46076,518,364,135,210
545.5,179,1926,33201,2143,46750,566,336,25,184
546,200,2266,33012,2138,41845,514,312,0,220
546.5,202,2037,32395,1756,37685,436,408,153,168
547,142,1969,34062,2210,39828,474,397,0,179
547.5,212,2497,38895,2526,41251,455,435,91,181
548,300,3170,45581,3173,43053,484,407,140,206
548.5,332,3607,49061,3213,61276,611,416,272,278
549,302,3800,47127,3210,55669,549,358,57,244
549.5,303,3675,41866,3332,59627,697,436,333,275
550,377,3693,37791,3387,56882,551,379,172,305
550.5,378,3651,34418,3194,43978,493,379,223,250
551,313,3305,33775,2907,42013,563,377,0,194
551.5,310,3028,35413,3120,40989,552,323,198,197
552,274,3209,37045,2588,42262,549,369,251,245
552.5,333,2830,44970,2380,46033,645,415,103,267
553,187,2585,45734,2220,44786,559,347,311,229
